"concept_id","category","zh_reference","en-GB","zh-CN","en-US","de-DE","el-GR","it-IT","ja-JP","pl-PL","ru-RU","scope_notes"
"country-minos","country","米诺斯","Minos [official_reproduced;country-minos:F03;source=en;not-edition-approved]","米诺斯 [official_reproduced;country-minos:F02]","Minos [official_reproduced;country-minos:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ミノス [community_reference;country-minos:F01]","[not_verified]","[not_verified]","不将现实希腊词形视作游戏已证名称。"
"country-leithanien","country","莱塔尼亚","Leithanien [official_reproduced;country-leithanien:F03;source=en;not-edition-approved]","莱塔尼亚 [official_reproduced;country-leithanien:F02]","Leithanien [official_reproduced;country-leithanien:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","リターニア [community_reference;country-leithanien:F01]","[not_verified]","[not_verified]","Leithania 是旧版异写线索，不能无条件覆盖当前写法。"
"country-kazimierz","country","卡西米尔","Kazimierz [official_reproduced;country-kazimierz:F03;source=en;not-edition-approved]","卡西米尔 [official_reproduced;country-kazimierz:F02]","Kazimierz [official_reproduced;country-kazimierz:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","カジミエーシュ [community_reference;country-kazimierz:F01]","[not_verified]","[not_verified]","大骑士领是城市群，不是全国的替代国名。"
"country-higashi","country","东国","Higashi [community_reference;country-higashi:F02;source=en;not-edition-approved]","东国 [project_approved;country-higashi:F01]","Higashi [community_reference;country-higashi:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","極東 [community_reference;country-higashi:F03]","[not_verified]","[not_verified]","日文使用極東；御机仅为南朝都城，不可泛称两朝共同首都。"
"country-columbia","country","哥伦比亚","Columbia [official_reproduced;country-columbia:F03;source=en;not-edition-approved]","哥伦比亚 [official_reproduced;country-columbia:F02]","Columbia [official_reproduced;country-columbia:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","クルビア [community_reference;country-columbia:F01]","[not_verified]","[not_verified]","Columbian Union 与中文联邦不可机械反推为 Federation。"
"country-gaul","country","高卢","Gaul [community_reference;country-gaul:F02;source=en;not-edition-approved]","高卢 [community_reference;country-gaul:F01]","Gaul [community_reference;country-gaul:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ガリア [community_reference;country-gaul:F03]","[not_verified]","[not_verified]","现代领土归属与历史高卢身份须分开。"
"country-kazdel","country","卡兹戴尔","Kazdel [official_reproduced;country-kazdel:F03;source=en;not-edition-approved]","卡兹戴尔 [official_reproduced;country-kazdel:F02]","Kazdel [official_reproduced;country-kazdel:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","カズデル [community_reference;country-kazdel:F01]","[not_verified]","[not_verified]","历次重建、政权和城市形态不得当作单一永久实体。"
"country-rim-billiton","country","雷姆必拓","Rim Billiton [official_reproduced;country-rim-billiton:F03;source=en;not-edition-approved]","雷姆必拓 [official_reproduced;country-rim-billiton:F02]","Rim Billiton [official_reproduced;country-rim-billiton:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","レム・ビリトン [community_reference;country-rim-billiton:F01]","[not_verified]","[not_verified]","国家与同名企业/矿业组织需按语境区分。"
"place-mitsukue","place","御机","Mitsukue [community_reference;place-mitsukue:F02;source=en;not-edition-approved]","御机 [community_reference;place-mitsukue:F01]","Mitsukue [community_reference;place-mitsukue:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","御机 [community_reference;place-mitsukue:F03]","[not_verified]","[not_verified]","南院行在御机大社是全称线索，不代表北朝。"
"place-trimounts","place","特里蒙","Trimounts [community_reference;place-trimounts:F02;source=en;not-edition-approved]","特里蒙 [community_reference;place-trimounts:F01]","Trimounts [community_reference;place-trimounts:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","トリマウンツ [community_reference;place-trimounts:F03]","[not_verified]","[not_verified]","Trimounts 尾字母 s 应保留；建城年存在社区叙述冲突，不能仅由十五年前倒推1084为唯一成立年。"
"place-tkaronto","place","提卡伦多","Tkaronto [community_reference;place-tkaronto:F01;source=en;not-edition-approved]","提卡伦多 [official_reproduced;place-tkaronto:F03]","Tkaronto [community_reference;place-tkaronto:F01;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","トカロント [community_reference;place-tkaronto:F02]","[not_verified]","[not_verified]","不改写为现实 Toronto。"
"place-wrankwood","place","蓝卡坞","Wrankwood [community_reference;place-wrankwood:F01;source=en;not-edition-approved]","蓝卡坞 [official_reproduced;place-wrankwood:F03]","Wrankwood [community_reference;place-wrankwood:F01;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ランクウッド [community_reference;place-wrankwood:F02]","[not_verified]","[not_verified]","本轮证据支持蓝卡坞，不支持兰卡坞。"
"place-nuova-volsinii","place","新沃尔西尼","Nuova Volsinii [official_reproduced;place-nuova-volsinii:F02;source=en;not-edition-approved]","新沃尔西尼 [official_reproduced;place-nuova-volsinii:F01]","Nuova Volsinii [official_reproduced;place-nuova-volsinii:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ヌオバ・ウォルシーニ [community_reference;place-nuova-volsinii:F03]","[not_verified]","[not_verified]","与旧城独立建模；1100年周年台词支持约1099成立，不从周年活动日期直接推出精确建城日。"
"place-montelupe","place","蒙特卢佩","Montelupe [community_reference;place-montelupe:F02;source=en;not-edition-approved]","蒙特卢佩 [community_reference;place-montelupe:F01]","Montelupe [community_reference;place-montelupe:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","[not_verified]","[not_verified]","[not_verified]","日文形式本轮未取得证据，保留缺失。"
"place-athenius","place","雅赛努斯","Athenius [community_reference;place-athenius:F02;source=en;not-edition-approved] || Athenus [community_reference;place-athenius:F04;source=en;not-edition-approved]","雅赛努斯 [community_reference;place-athenius:F01]","Athenius [community_reference;place-athenius:F02;source=en;not-edition-approved] || Athenus [community_reference;place-athenius:F04;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","アテヌス [community_reference;place-athenius:F03]","[not_verified]","[not_verified]","PRTS 记录 Athenus、当前英文社区条目为 Athenius，需保留版本冲突。"
"place-kawalerielki","place","卡瓦莱利亚基","Kawalerielki [community_reference;place-kawalerielki:F02;source=en;not-edition-approved]","卡瓦莱利亚基 [community_reference;place-kawalerielki:F01]","Kawalerielki [community_reference;place-kawalerielki:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","カヴァレリエルキ [community_reference;place-kawalerielki:F03]","[not_verified]","[not_verified]","大骑士领为别称，不是一个独立国家。"
"place-vyseheim","place","维谢海姆","Vyseheim [community_reference;place-vyseheim:F02;source=en;not-edition-approved]","维谢海姆 [community_reference;place-vyseheim:F01]","Vyseheim [community_reference;place-vyseheim:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ヴィセハイム [official_reproduced;place-vyseheim:F03]","[not_verified]","[not_verified]","日文不是仓库现存的ヴィシェハイム；待批准后统一展示文案，不必改稳定ID。"
"place-zwillingsturme","place","崔林特尔梅","Zwillingstürme [community_reference;place-zwillingsturme:F02;source=en;not-edition-approved] || Vedunien [official_reproduced;place-zwillingsturme:F04;source=en;not-edition-approved]","崔林特尔梅 [community_reference;place-zwillingsturme:F01]","Zwillingstürme [community_reference;place-zwillingsturme:F02;source=en;not-edition-approved] || Vedunien [official_reproduced;place-zwillingsturme:F04;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ツヴィリングトゥルム [community_reference;place-zwillingsturme:F03]","[not_verified]","[not_verified]","前身为 Vedunien；1092重建完成并不直接证明城市恰在1092更名，1084显示资格仍需独立审查。"
"place-londinium","place","伦蒂尼姆","Londinium [community_reference;place-londinium:F02;source=en;not-edition-approved]","伦蒂尼姆 [community_reference;place-londinium:F01]","Londinium [community_reference;place-londinium:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ロンディニウム [community_reference;place-londinium:F03]","[not_verified]","[not_verified]","需区分占领、战争与正常营运的年代状态。"
"place-calais-blason","place","克莱布拉松","Calais-Blason [community_reference;place-calais-blason:F01;source=en;not-edition-approved] || Celaiblason [community_reference;place-calais-blason:F04;source=en;not-edition-approved] || Calais-blason [official_reproduced;place-calais-blason:F05;source=en;not-edition-approved]","克莱布拉松 [official_reproduced;place-calais-blason:F03]","Calais-Blason [community_reference;place-calais-blason:F01;source=en;not-edition-approved] || Celaiblason [community_reference;place-calais-blason:F04;source=en;not-edition-approved] || Calais-blason [official_reproduced;place-calais-blason:F05;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","セライブラソン [community_reference;place-calais-blason:F02]","[not_verified]","[not_verified]","地区、林地城堡、剧团驻地不是同一实体；克莱布尔松本轮未获支持。"
"place-deity-grypherburg","place","圣骏堡","Deity Grypherburg [community_reference;place-deity-grypherburg:F02;source=en;not-edition-approved]","圣骏堡 [community_reference;place-deity-grypherburg:F01]","Deity Grypherburg [community_reference;place-deity-grypherburg:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サンクト・グリファーブルク [community_reference;place-deity-grypherburg:F03]","[not_verified]","[not_verified]","俄文项目作者输入未由本轮独立核验，不能从日文前缀反造俄语全称。"
"place-baizao","place","百灶","Baizao [community_reference;place-baizao:F02;source=en;not-edition-approved]","百灶 [community_reference;place-baizao:F01]","Baizao [community_reference;place-baizao:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","百灶 [community_reference;place-baizao:F03]","[not_verified]","[not_verified]","保留官方汉字，不以读音自行替换。"
"place-lungmen","place","龙门","Lungmen [community_reference;place-lungmen:F02;source=en;not-edition-approved]","龙门 [community_reference;place-lungmen:F01]","Lungmen [community_reference;place-lungmen:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","龍門 [official_direct;place-lungmen:F03]","[not_verified]","[not_verified]","具有自治地位并不使其成为独立国家。"
"place-shangshu","place","尚蜀","Shangshu [community_reference;place-shangshu:F02;source=en;not-edition-approved]","尚蜀 [community_reference;place-shangshu:F01]","Shangshu [community_reference;place-shangshu:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","尚蜀 [community_reference;place-shangshu:F03]","[not_verified]","[not_verified]","移动城与周边地理环境应分开描述。"
"place-volsinii","place","沃尔西尼","Volsinii [community_reference;place-volsinii:F02;source=en;not-edition-approved]","沃尔西尼 [community_reference;place-volsinii:F01]","Volsinii [community_reference;place-volsinii:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ウォルシーニ [official_reproduced;place-volsinii:F03]","[not_verified]","[not_verified]","1084称沃尔西尼；旧沃尔西尼是后世区分展示语，不是原始专名自动异写。"
"place-max-dc","place","麦克斯特区","Max D.C. [community_reference;place-max-dc:F01;source=en;not-edition-approved] || Max, District of Columbia [community_reference;place-max-dc:F04;source=en;not-edition-approved]","麦克斯特区 [official_reproduced;place-max-dc:F02] || 麦克斯哥伦比亚特区 [community_reference;place-max-dc:F03]","Max D.C. [community_reference;place-max-dc:F01;source=en;not-edition-approved] || Max, District of Columbia [community_reference;place-max-dc:F04;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","[not_verified]","[not_verified]","[not_verified]","不可与位于其周边的螺旋桨天堂或特里蒙等同；日文缺失。"
"place-propeller-paradise","place","螺旋桨天堂","Propeller Paradise [community_reference;place-propeller-paradise:F02;source=en;not-edition-approved]","螺旋桨天堂 [community_reference;place-propeller-paradise:F01]","Propeller Paradise [community_reference;place-propeller-paradise:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","プロペラパラダイス [community_reference;place-propeller-paradise:F03]","[not_verified]","[not_verified]","不是哥伦比亚首都；灾后重建及开放时间需按剧情版本另审。"
"place-lingones","place","林贡斯","Lingones [community_reference;place-lingones:F02;source=en;not-edition-approved]","林贡斯 [community_reference;place-lingones:F01]","Lingones [community_reference;place-lingones:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","リンゴネス [community_reference;place-lingones:F03]","[not_verified]","[not_verified]","废墟或历史幻象不能直接作为现代常规演出城市。"
"place-siesta","place","汐斯塔","Siesta [community_reference;place-siesta:F02;source=en;not-edition-approved]","汐斯塔 [community_reference;place-siesta:F01]","Siesta [community_reference;place-siesta:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","シエスタ [community_reference;place-siesta:F03]","[not_verified]","[not_verified]","旧火山城市与迁移后的移动城市需按年代区分；不能仅因哥伦比亚影响就认定普通省属城市。"
"place-wolumonde","place","沃伦姆德","Wolumonde [community_reference;place-wolumonde:F02;source=en;not-edition-approved]","沃伦姆德 [community_reference;place-wolumonde:F01]","Wolumonde [community_reference;place-wolumonde:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ウォルモンド [community_reference;place-wolumonde:F03]","[not_verified]","[not_verified]","灾变前、起义后及废弃状态需分别核验。"
"place-chernobog","place","切尔诺伯格","Chernobog [official_reproduced;place-chernobog:F02;source=en;not-edition-approved]","切尔诺伯格 [official_reproduced;place-chernobog:F01]","Chernobog [official_reproduced;place-chernobog:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","チェルノボーグ [official_reproduced;place-chernobog:F03]","[not_verified]","[not_verified]","1096灾难前后及后续重建名称不可无条件共用。"
"event-war-four-nations","event","四国战争","War of the Four Nations [community_reference;event-war-four-nations:F02;source=en;not-edition-approved]","四国战争 [community_reference;event-war-four-nations:F01]","War of the Four Nations [community_reference;event-war-four-nations:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","四国戦争 [community_reference;event-war-four-nations:F03]","[not_verified]","[not_verified]","四皇会战是战争中的关键战役，不能把两者作为同一概念。"
"event-septemberaufstand","event","九月起义","Septemberaufstand [community_reference;event-septemberaufstand:F02;source=en;not-edition-approved]","九月起义 [community_reference;event-septemberaufstand:F01]","Septemberaufstand [community_reference;event-septemberaufstand:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","九月蜂起 [community_reference;event-septemberaufstand:F03]","[not_verified]","[not_verified]","不能与1092首都重建完成事件合并。"
"org-crimson-troupe","organization","猩红剧团","Crimson Troupe [community_reference;org-crimson-troupe:F02;source=en;not-edition-approved]","猩红剧团 [official_reproduced;org-crimson-troupe:F01]","Crimson Troupe [community_reference;org-crimson-troupe:F02;source=en;not-edition-approved]","Crimson Troupe [candidate;protected_name;CAND-org-crimson-troupe-de-DE]","Crimson Troupe [candidate;protected_name;CAND-org-crimson-troupe-el-GR]","Crimson Troupe [candidate;protected_name;CAND-org-crimson-troupe-it-IT]","クリムゾン劇団 [community_reference;org-crimson-troupe:F03]","Crimson Troupe [candidate;protected_name;CAND-org-crimson-troupe-pl-PL]","Crimson Troupe [candidate;protected_name;CAND-org-crimson-troupe-ru-RU]","官方旧团历史、红丝绒后的重组和本站自创事务不可混为同一事实层；新旧阶段应附时间语境。 当前社区同页另列Scarlet Troupe、猩红歌剧团，作为待核异名线索，不新建组织、不自动覆盖已接受品牌；日文官网原文仍待补证。"
"person-phantom","person","傀影","Phantom [community_reference;person-phantom:F02;source=en;not-edition-approved]","傀影 [community_reference;person-phantom:F01]","Phantom [community_reference;person-phantom:F02;source=en;not-edition-approved]","Phantom [candidate;protected_name;CAND-person-phantom-de-DE]","Phantom [candidate;protected_name;CAND-person-phantom-el-GR]","Phantom [candidate;protected_name;CAND-person-phantom-it-IT]","ファントム [community_reference;person-phantom:F03] || ファントム [official_direct;person-phantom:F04]","Phantom [candidate;protected_name;CAND-person-phantom-pl-PL]","Phantom [candidate;protected_name;CAND-person-phantom-ru-RU]","Phantom为干员代号；人物本名卢西恩单列关联；异格代号酒神属于后续阶段。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-lucian","person","卢西恩","Lucian [community_reference;person-lucian:F02;source=en;not-edition-approved]","卢西恩 [official_reproduced;person-lucian:F01]","Lucian [community_reference;person-lucian:F02;source=en;not-edition-approved]","Lucian [candidate;protected_name;CAND-person-lucian-de-DE]","Lucian [candidate;protected_name;CAND-person-lucian-el-GR]","Lucian [candidate;protected_name;CAND-person-lucian-it-IT]","ルシアン [community_reference;person-lucian:F03]","Lucian [candidate;protected_name;CAND-person-lucian-pl-PL]","Lucian [candidate;protected_name;CAND-person-lucian-ru-RU]","人物实体与代号需关联，不能将本名归给旧酒神。卢西恩，猩红血钻的敌人全称不等于新的独立人物。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-tragodia-predecessor","person","“酒神”","Tragodia [community_reference;person-tragodia-predecessor:F02;source=en;not-edition-approved] || Troupe Master [community_reference;person-tragodia-predecessor:F05;source=en;not-edition-approved]","“酒神” [community_reference;person-tragodia-predecessor:F01] || 剧团长 [community_reference;person-tragodia-predecessor:F04]","Tragodia [community_reference;person-tragodia-predecessor:F02;source=en;not-edition-approved] || Troupe Master [community_reference;person-tragodia-predecessor:F05;source=en;not-edition-approved]","Tragodia [candidate;protected_name;CAND-person-tragodia-predecessor-de-DE]","Tragodia [candidate;protected_name;CAND-person-tragodia-predecessor-el-GR]","Tragodia [candidate;protected_name;CAND-person-tragodia-predecessor-it-IT]","酒神 [community_reference;person-tragodia-predecessor:F03] || 劇団長 [community_reference;person-tragodia-predecessor:F06]","Tragodia [candidate;protected_name;CAND-person-tragodia-predecessor-pl-PL]","Tragodia [candidate;protected_name;CAND-person-tragodia-predecessor-ru-RU]","加前代／旧团长限定。酒神这一名称发生传承，但旧团长的人物实体不与卢西恩合并；日文酒神与干员トラゴーディア不同语用。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"title-tragodia-lucian","title","酒神","Tragodia [official_direct;title-tragodia-lucian:F02;source=en;not-edition-approved]","酒神 [official_direct;title-tragodia-lucian:F01]","Tragodia [official_direct;title-tragodia-lucian:F02;source=en;not-edition-approved]","Tragodia [candidate;protected_name;CAND-title-tragodia-lucian-de-DE]","Tragodia [candidate;protected_name;CAND-title-tragodia-lucian-el-GR]","Tragodia [candidate;protected_name;CAND-title-tragodia-lucian-it-IT]","トラゴーディア [official_direct;title-tragodia-lucian:F03] || トラゴディア [community_reference;title-tragodia-lucian:F04]","Tragodia [candidate;protected_name;CAND-title-tragodia-lucian-pl-PL]","Tragodia [candidate;protected_name;CAND-title-tragodia-lucian-ru-RU]","此记录指后继者卢西恩持有的代号；与前代旧团长保持distinct_from。Dionysus仅可作为神话释义，不能替换官方英译。"
"person-miss-christine","person","Miss.Christine","Miss.Christine [official_direct;person-miss-christine:F02;source=en;not-edition-approved]","Miss.Christine [community_reference;person-miss-christine:F01]","Miss.Christine [official_direct;person-miss-christine:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ミス・クリスティーン [official_direct;person-miss-christine:F03]","[not_verified]","[not_verified]","中文也采用拉丁字母名称；不要从现实歌剧女主角直接迁入其身份或故事；句点与空格差异需要按来源记录。"
"person-playwright","person","剧作家","Playwright [community_reference;person-playwright:F02;source=en;not-edition-approved]","剧作家 [community_reference;person-playwright:F01]","Playwright [community_reference;person-playwright:F02;source=en;not-edition-approved]","Dramatiker [candidate;semantic_translation;CAND-person-playwright-de-DE]","δραματουργός [candidate;semantic_translation;CAND-person-playwright-el-GR]","drammaturgo [candidate;semantic_translation;CAND-person-playwright-it-IT]","劇作家 [community_reference;person-playwright:F03]","dramaturg [candidate;semantic_translation;CAND-person-playwright-pl-PL]","драматург [candidate;semantic_translation;CAND-person-playwright-ru-RU]","称号与普通职业名同形，索引需使用人物ID；肉鸽分支结局不自动当作唯一正史。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-troupe-mouthpiece","person","剧团喉舌","Troupe Mouthpiece [community_reference;person-troupe-mouthpiece:F02;source=en;not-edition-approved] || Ahrendts [community_reference;person-troupe-mouthpiece:F05;source=en;not-edition-approved]","剧团喉舌 [community_reference;person-troupe-mouthpiece:F01] || 阿伦茨 [community_reference;person-troupe-mouthpiece:F04]","Troupe Mouthpiece [community_reference;person-troupe-mouthpiece:F02;source=en;not-edition-approved] || Ahrendts [community_reference;person-troupe-mouthpiece:F05;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","劇団の喉舌 [community_reference;person-troupe-mouthpiece:F03] || アーレンツ [community_reference;person-troupe-mouthpiece:F06]","[not_verified]","[not_verified]","喉舌是角色称号；不可泛指所有剧团工作人员或翻译成表站机构口吻。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-shalem","person","暮落","Shalem [community_reference;person-shalem:F02;source=en;not-edition-approved]","暮落 [community_reference;person-shalem:F01]","Shalem [community_reference;person-shalem:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","シャレム [community_reference;person-shalem:F03]","[not_verified]","[not_verified]","暮落为干员代号；本次未确认沉渊的英日对应，留作待核线索。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"org-rhodes-island","organization","罗德岛","Rhodes Island [official_direct;org-rhodes-island:F02;source=en;not-edition-approved] || Rhodes Island Pharmaceuticals Inc. [community_reference;org-rhodes-island:F04;source=en;not-edition-approved]","罗德岛 [official_direct;org-rhodes-island:F01]","Rhodes Island [official_direct;org-rhodes-island:F02;source=en;not-edition-approved] || Rhodes Island Pharmaceuticals Inc. [community_reference;org-rhodes-island:F04;source=en;not-edition-approved]","Rhodes Island [candidate;protected_name;CAND-org-rhodes-island-de-DE]","Rhodes Island [candidate;protected_name;CAND-org-rhodes-island-el-GR]","Rhodes Island [candidate;protected_name;CAND-org-rhodes-island-it-IT]","ロドス [official_direct;org-rhodes-island:F03]","Rhodes Island [candidate;protected_name;CAND-org-rhodes-island-pl-PL]","Rhodes Island [candidate;protected_name;CAND-org-rhodes-island-ru-RU]","机构与同名陆行舰必须分开建模；全称、简称及舰名不可无条件互换。"
"org-babel","organization","巴别塔","Babel [community_reference;org-babel:F02;source=en;not-edition-approved]","巴别塔 [community_reference;org-babel:F01]","Babel [community_reference;org-babel:F02;source=en;not-edition-approved]","Babel [candidate;protected_name;CAND-org-babel-de-DE]","Babel [candidate;protected_name;CAND-org-babel-el-GR]","Babel [candidate;protected_name;CAND-org-babel-it-IT]","バベル [community_reference;org-babel:F03]","Babel [candidate;protected_name;CAND-org-babel-pl-PL]","Babel [candidate;protected_name;CAND-org-babel-ru-RU]","原巴别塔、其后重建组织与同名活动分开；不把succession理解为全部成员和目标完全相同。"
